name,description
China Energy Portal,And also note that now all that is needed is a final verison of the 'Measures for registration and settlement of tr… https://t.co/7QaSARXmEf
China Energy Portal,"China publishes rules to govern its carbon market.
This follows rules on establishing quota from just one week ago.… https://t.co/YeU0IVom1d"
China Energy Portal,"China's ETS quota setting and distributon plan for 2019-2020. Not a launch of trading just yet, but one of the step… https://t.co/LdvjVfKM0B"
China Energy Portal,"RT @thomwoodroofe: Xi Jinping just confirmed China will update all four quantifiable goals in its 2030 NDC, not just the peaking date. Here…"
China Energy Portal,"RT @YanQinyq: CHINA just announced new NDC at #ClimateAmbitionSummit 

🇨🇳 in 2030: 
📉 Emissions per unit of GDP -65% from 2005 level
🌲  Non…"
China Energy Portal,"RT @YanQinyq: Important clarification on China’s climate pledge by climate director  Li Junfeng: 

🎯 “Peaking emissions before 2030” is a t…"
China Energy Portal,"RT @EmberClimate: Published today: Asian Electricity Data Transparency Report

Many countries across Asia and Oceania lack the data require…"
China Energy Portal,"English live feed of press conference on China's scenarios to net-zero by 2060.

Today at 13:00 European time.

Reg… https://t.co/DvJnIsDZV7"
China Energy Portal,"@Down_Ra226 That's not really clear at the moment.
Plans for the next five year are currently being discussed. With… https://t.co/15La8WdZWo"
China Energy Portal,"Direct comparison of 2020 Q3 numbers vs 2019 Q3 numbers:
Total: +111.9 TWh (+2.1%)
Thermal: +29.6 TWh (+0.8%)
Hydro… https://t.co/PekSHDGcIt"
China Energy Portal,Note some statistical discrepancies: adding up increases/decreases for individual power sources do not add up to th… https://t.co/TA89E0WIwA
China Energy Portal,"China Q3 electricity stats:
YoY growth in power consumption is positive again, although very small. +50 TWh ytd vs… https://t.co/IMTgRxjyKd"
China Energy Portal,@triviumchina Here's one of the first document introducing nationwide PV feed-in tariffs. This one states the subsi… https://t.co/19OkUUEk5A
China Energy Portal,"@triviumchina Here's a full translation.
Note: the 20 year cut-off is not new, the maximum no. of hours are.
These… https://t.co/sroIouiVGb"
China Energy Portal,"The suggested 'lifetime full-load hours eligible for subsidies' are fairly generous.
Compare with 2019 nationwide c… https://t.co/sQBfRVxAWx"
China Energy Portal,"This is retroactively, so for the full stock of projects currently eligible for such subsidies.

The MOF states thi… https://t.co/pwNGWq2FbR"
China Energy Portal,"MOF, NDRC &amp; NEA 'clarify' subsidy standards:

Projects used to be eligible for their approved feed-in tariffs for m… https://t.co/ULH5hJrL5c"
China Energy Portal,"Presentation of research on China's possible trajectory to zero-carbon by 2060.
Now full version in English, as pro… https://t.co/rXe0DmAmPQ"
China Energy Portal,"Great piece laying out what the proposed trajectories to zero carbon mean in short and long term.

The researchers… https://t.co/9B54t6bWBx"
China Energy Portal,"@Que_Lenergie @martin_hervouet Here:
https://t.co/6kfdPFsOl5"
China Energy Portal,"The relevance of China's net-zero by 2060 announcement on global carbon emission trajectories.

Not there yet, but… https://t.co/sTqyu3UoO2"
China Energy Portal,"RT @LiShuo_GP: The Tsinghua report has four scenarios - current NDC, enhanced NDC, 2C, and 1.5C. Does this imply, and admitted by Tsinghua,…"
China Energy Portal,"Here is the suggested emissions trajectory.

Despite obvious ambition of 2060 net-zero target, next 5 to 10 y may n… https://t.co/UtdbO4LKtR"
